source,Name_source,mean_d18O,mean_d2H
SRC1,JVTP,-15.43,-118.54
SRC1,JVTP,-15.51,-118.64
SRC1,JVTP,-15.48,-118.76
SRC1,JVTP,-15.48,-118.45
SRC2,SETP,-15.59,-115.23
SRC2,SETP,-15.59,-113.96
SRC2,SETP,-15.59,-113.27
SRC2,SETP,-15.65,-114.28
SRC2,SETP,-15.6,-113.32
SRC3,SWTP,-15.91,-122.7
SRC3,SWTP,-16.28,-126.06
SRC3,SWTP,-15.95,-123.41
SRC4,64S/70S Well,-16.53,-123.62
SRC4,64S/70S Well,-16.67,-123.89
SRC5,Siesta Well,-16.4,-122.36
SRC6,18E Well,-16.28,-121.62
SRC7,45S Well,-16.42,-122.86
SRC7,45S Well,-16.67,-124.14
SRC8,Solena Way Well,-15.4,-115.87
SRC9,90S Quail Well,-16.27,-120.68
SRC10,24E Well,-16.13,-120.06
SRC11,146S Well,-15.81,-122.58
